subject,number,name,description,credit_hours,crn,section,enrollment_status,type,type_code,start_time,end_time,days,room,building,instructors,
AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,41758,AD1,Open,Discussion/Recitation,DIS,9:00,9:50,F,215,David Kinley Hall,,
AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,47100,AD2,Open,Discussion/Recitation,DIS,12:00,12:50,F,215,David Kinley Hall,,
AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,47102,AD3,Closed,Discussion/Recitation,DIS,13:00,13:50,F,312,David Kinley Hall,,
AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,51248,AD4,Open,Discussion/Recitation,DIS,10:00,10:50,F,215,David Kinley Hall,,
AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,51249,AD5,Open,Discussion/Recitation,DIS,11:00,11:50,F,215,David Kinley Hall,,
AAS,120,Intro to Asian Am Pop Culture,Introductory understanding of the way U.S. popular culture has affected Asian Americans and the contributions Asian Americans have made to U.S. media and popular culture since the mid 1880's.,3 hours.,51932,A,Closed,Lecture-Discussion,LCD,11:00,12:20,MW,1028,Lincoln Hall,,
AAS,200,U.S. Race and Empire,"Invites students to examine histories and narratives of U.S. race and empire, drawing upon multiple theoretical and methodological works in Asian American studies and related fields. Same as LLS 200.",3 hours.,59818,C,Closed,Lecture-Discussion,LCD,14:00,15:20,MW,1028,Lincoln Hall,,
AAS,201,US Racial &amp; Ethnic Politics,"Same as AFRO 201, LLS 201, and PS 201. See PS 201.",3 hours.,59819,OL1,Closed,Online,ONL,ARRANGED,,,,,,
AAS,201,US Racial &amp; Ethnic Politics,"Same as AFRO 201, LLS 201, and PS 201. See PS 201.",3 hours.,59820,OL2,Closed,Online,ONL,ARRANGED,,,,,,
AAS,201,US Racial &amp; Ethnic Politics,"Same as AFRO 201, LLS 201, and PS 201. See PS 201.",3 hours.,59821,OL3,CrossListOpen,Online,ONL,ARRANGED,,,,,,
AAS,275,The Politics of Fashion,Same as GWS 275. See GWS 275.,3 hours.,29646,AD0,CrossListOpen,Discussion/Recitation,DIS,14:00,14:50,F,144,Armory,"Martins Freitas, C;Nguyen, M",
AAS,275,The Politics of Fashion,Same as GWS 275. See GWS 275.,3 hours.,51394,AD1,CrossListOpen,Discussion/Recitation,DIS,14:00,14:50,R,325,David Kinley Hall,"Nguyen, M;Wilson, M",
AAS,281,Constructing Race in America,"Same as AFRO 281, HIST 281, and LLS 281. See HIST 281.",3 hours.,67473,AD1,CrossListOpen,Discussion/Recitation,DIS,9:00,9:50,F,221,Gregory Hall,"Burgos, A;Kelley, K",
AAS,281,Constructing Race in America,"Same as AFRO 281, HIST 281, and LLS 281. See HIST 281.",3 hours.,71040,AD2,CrossListOpen,Discussion/Recitation,DIS,13:00,13:50,F,321,Gregory Hall,"Burgos, A;Kelley, K",
AAS,281,Constructing Race in America,"Same as AFRO 281, HIST 281, and LLS 281. See HIST 281.",3 hours.,71043,AD3,CrossListOpen,Discussion/Recitation,DIS,12:00,12:50,F,221,Gregory Hall,"Burgos, A;Sundarsingh, A",
AAS,297,Asian Families in America,Same as HDFS 221 and SOCW 297. See SOCW 297.,3 hours.,74251,A,Closed,Lecture-Discussion,LCD,9:30,10:45,TR,W115,Turner Hall,"Chih, D",
AAS,300,"Theories of Race, Gender, and Sexuality","Explores theories for performing interdisciplinary, intersectional and comparative studies within the field of Asian American studies. Follows multiple genealogies of critical work in ethnic and American studies. Same as GWS 305 and LLS 305.",3 hours.,75111,A,Closed,Lecture-Discussion,LCD,14:00,15:20,TR,215,Gregory Hall,,
AAS,310,Race and Cultural Diversity,"Same as AFRO 310, EPOL 310, EPS 310, and LLS 310. See EPS 310.",4 hours.,71455,D1,Closed,Discussion/Recitation,DIS,14:00,15:50,R,430,Armory,,
AAS,310,Race and Cultural Diversity,"Same as AFRO 310, EPOL 310, EPS 310, and LLS 310. See EPS 310.",4 hours.,71457,D2,Closed,Discussion/Recitation,DIS,14:00,15:50,R,429,Armory,,
AAS,310,Race and Cultural Diversity,"Same as AFRO 310, EPOL 310, EPS 310, and LLS 310. See EPS 310.",4 hours.,71459,L,Closed,Lecture,LEC,14:00,15:50,T,432,Armory,"Anderson, J",
AAS,357,Literatures of the Displaced,"Same as AIS 357, ENGL 357, GWS 357, and LLS 357. See LLS 357.",3 hours.,71461,A,CrossListOpen,Lecture-Discussion,LCD,14:00,15:20,TR,209,David Kinley Hall,"de la Garza, J",
AAS,402,Asian American Education,Same as EPS 402 and EPOL 402. See EPOL 402.,4 hours.,73306,A,CrossListOpen (Restricted),Online,ONL,14:30,16:20,T,,,"Lee, S",
